Content,Source,label
"When a group of us decided to submit to the Airports Commission an independent idea to expand Heathrow – differing from Heathrow Airport’s own proposal in that it would involve extending the existing northern runway, rather than building a new, third, one – little did I know that it would be tougher than anything I experienced as a Concorde pilot or as director of British Airways operations at Heathrow or Gatwick.

The Government went with Heathrow’s third runway proposal, and parliament is expected to start the approval process this week. This is despite the fact that our plan delivers the same capacity and economic benefits but is cheaper, simpler, quieter, and quicker to build. It destroys...",Telegraph,0
"Qatar Airways chief executive officer Akbar Al Baker says only a man could rise to the challenges of his job.

Moments after becoming chairman of the International Air Transport Association’s board of governors, one of the world’s biggest boys’ clubs, Mr Al Baker did little to suggest things will change.

At a press conference in Sydney, where IATA held its annual meeting, he was asked what could be done about the woeful representation of women in Middle East aviation. That’s not the case at Qatar Airways, Mr Al Baker told the reporter.

“Of course it has to be led by a man, because it is a very challenging position.” There were loud groans of disapproval from many reporters in the room.

The comments...",Telegraph,0
"Low-cost airline Ryanair has been blown off course by a slew of air traffic control strikes in Europe that forced it to cancel more than 1,000 flights in May.

The Irish-based carrier said more than 200,000 of its 12.5m customers were affected last month after 1,100 flights were cancelled. European air traffic control workers, predominantly in France, went on strike and the shortage of such workers also hindered the carrier. The number of flights cancelled in the same month last year was just 43.

The airline pleaded with the European Commission to take “immediate action to prevent more air traffic control strikes” and deal with staff shortages to avoid large scale disruption ahead of the busy...",Telegraph,0
"Sir Tim Clark, the Briton who runs Emirates, has laid out his vision of a future with windowless planes, ensuring aircraft are lighter and can travel faster.

The Dubai-based airline has already installed ""virtual windows"" in the first class cabin of its newest Boeing 777 jets, which were unveiled in November.

With only six seats in a 1-1-1 configuration, the layout means each passenger has their own 40sq ft private, fully enclosed suite.

But it also means the passenger in the middle of the aircraft has no window. As such, Emirates broadcasts live images from cameras fixed to the outside of the plane to create real-time virtual windows on the walls of the cabins.

Sir Tim, Emirates president,...",Telegraph,0
"We've noticed you're adblocking.

We rely on advertising to help fund our award-winning journalism.

We urge you to turn off your ad blocker for The Telegraph website so that you can continue to access our quality content in the future.

Thank you for your support.",Telegraph,0
"This year is a milestone in British military aviation. It marks both 80 years since the first Spitfire rolled off the production line, as well as 100 years since the RAF was established. But more than that – 2018 also marks the start of a new era of British excellence in aerial warfare.

Last week, the first four of Britain’s new F-35B fighter jets touched down at RAF Marham two months ahead of schedule. This was the culmination of a journey which started nearly two decades ago. In 2001, Britain joined America on the Lightning II programme – the most ambitious programme the United States has ever undertaken to build the joint strike fighter jets of the future.",Telegraph,0
"Rolls-Royce has discovered even more problems with its latest Trent 1000 jet engines, warning it will incur further costs to fix them.

The engineering giant said that a potential fault had been discovered that may affect 166 of its “Package B” Trent 1000 engines.

Rolls said a “durability issue” had been discovered, meaning a part is wearing out faster than expected.

The problem is on top of a related issue with 380 “Package C” versions of the engine, which power Boeing’s 787 Dreamliner aircraft.

The fault could lead to the engines cutting out, and some aircraft powered by Trent 1000 engines have been grounded. The issue was discovered two years ago and fixes were announced earlier this year,...",Telegraph,0
"The aerospace industry is calling on EU chief negotiator Michel Barnier to separate the sector from political talks about the UK’s withdrawal from the trading bloc.

The General Aviation Manufacturers Association (GAMA) and British aerospace trade group ADS have written to Mr Barnier warning that without a special focus on agreeing regulations around the complex sector, aircraft could be grounded because of Brexit.

In the letter they said that the UK Civil Aviation Authority and the European Aviation Safety Authority need to begin planning now on how to untangle regulations covering how aircraft are certified.

If a withdrawal agreement is not ratified before the EU exit date of March 2019, the...",Telegraph,0
"North Korean leader Kim Jong-un is reportedly paranoid about his safety during the summit in Singapore, going to extraordinary lengths to keep himself safe while travelling.

It is only his third known trip outside his country.

When he appeared in China in March he travelled by train, apparently a ""special train"" used by his father for international travel.

Many observers suggested his mode of travel was in part the result of cash shortages and sanctions that have made it difficult to keep North Korea's national fleet airworthy.

Kim’s own official aircraft is thought to be a 38-year-old Soviet-made Ilyushin Il-62.",Telegraph,0
"Rolls-Royce believes the number of aircraft withdrawn from operations over Trent engine issues is starting to decline, without reaching the manufacturer's peak estimate of 50.

Chief executive Warren East detailed the manufacturer's progress on addressing the problems, focused on Trent 1000 blades for Boeing 787s, during an investor briefing on 15 June.

""We'd anticipated a pretty grim situation with aircraft on the ground,"" says East.

The company ramped up its maintenance capacity in response and trimmed the cycle time for inspections and parts replacement.

East says that the ""bottleneck has shifted"" from MRO capacity to logistics, given the time required for transporting large and heavy items.

He stresses that the aircraft-on-ground figure is ""less than we feared"", adding that it ""never actually hit 50"", and he puts the current level at 44 and falling.

Rolls-Royce has completed the first stage of initial inspections on the Package C version of the Trent 1000. East says the failure rate on repetitive inspections has been better than forecast.

But he also acknowledges that the situation is ""causing a number of our customers a huge amount of disruption"".

The company has embarked on a one-off inspection regime for Package B engines, to gather data.

East says that the ""good news"" is that these powerplants are affected ""much later"" in their life cycle, adding: ""It happens after scheduled maintenance in the main.""

Testing of a new Package C compressor rotor design is ""going well"", says East, and the company is still hoping to bring the implementation of a fix forward to this year, rather than early 2019.

East says turbine blade capacity is a ""limiting factor"" for the company but that it is continuing to improve the situation. Rolls-Royce has increased blade capacity by 50% since the beginning of the year.",Flight Global,0
